,MAKE,MODEL,TRIM_LEVEL,BODY_TYPE,FUEL_TYPE,TRANSMISSION,NUMBER_OF_DOORS,DRIVEN_WHEELS,ENGINE_SIZE,POWER_TRAIN_TYPE,BATTERY_CAPACITY_KWH,MAX_POWER_HP,MAX_POWER_KW,SECONDARY_VERSION
642,FORD,FIESTA,ST-LINE,hatchback,ECOBOOST,manual,5 portes,FWD,1.0,,,100HP,,
643,FORD,FIESTA,ST-LINE,hatchback,ECOBOOST,manual,5 portes,FWD,1.0,MHEV,,155PS,,
644,FORD,FIESTA,ST-LINE,hatchback,ECOBOOST,manual,3 doors,FWD,1.0,,,,74KW,
645,FORD,FIESTA,TITANIUM,hatchback,ECOBOOST,manual,5 portes,FWD,1.0,,,125PS,,
646,FORD,FOCUS,ACTIVE BUSINESS,estate,ECOBOOST,manual,5 portes,FWD,1.0,MHEV,,125PS,,
647,FORD,FOCUS,ACTIVE STYLE,hatchback,ECOBOOST,manual,5 portes,FWD,1.0,,,125PS,,
648,FORD,FOCUS,ACTIVE V CO-PILOT,hatchback,ECOBLUE,automatic,5 portes,FWD,1.5,,,,88KW,
649,FORD,FOCUS,ACTIVE V,hatchback,ECOBLUE,automatic,5 portes,FWD,2.0,,,150PS,,
650,FORD,FOCUS,ACTIVE VIGNALE,estate,ECOBOOST,automatic,5 portes,FWD,1.5,,,182PS,,
651,FORD,FOCUS,ACTIVE X ED,estate,ECOBOOST,automatic,5 portes,FWD,1.0,,,125 PS,,
652,FORD,FOCUS,ACTIVE X VIGNALE,hatchback,ECOBOOST,manual,5 portes,FWD,1.0,,,125PS,,
653,FORD,FOCUS,ACTIVE X,estate,ECOBLUE,manual,5 portes,FWD,1.5,,,120PS,,
654,FORD,FOCUS,ACTIVE,hatchback,ECOBLUE,automatic,5 portes,FWD,1.5,,,,,
655,FORD,FOCUS,BUSINESS,estate,ECOBLUE,manual,5 portes,FWD,1.5,,,,70KW,
656,FORD,FOCUS,COOL & CON.,estate,ECOBOOST,automatic,5 portes,FWD,1.0,MHEV,,,92KW,
657,FORD,FOCUS,COOL & CONNECT,hatchback,ECOBOOST,manual,5 portes,FWD,1.0,MHEV,,,114KW,
658,FORD,FOCUS,RS TRACK EDITION,hatchback,unleaded,manual,5 portes,AWD,2.3,,,350HP,,
659,FORD,FOCUS,ST LINE,hatchback,ECOBLUE,manual,5 portes,FWD,1.5,,,120HP,,
660,FORD,FOCUS,ST,hatchback,ECOBOOST,manual,5 portes,FWD,2.3,,,280PS,,
661,FORD,FOCUS,ST-LINE EDITION,estate,ECOBLUE,automatic,5 portes,FWD,2.0,,,150PS,,
662,FORD,FOCUS,ST-LINE STYLE,estate,ECOBOOST,manual,5 portes,FWD,1.0,MHEV,,,92KW,
663,FORD,FOCUS,ST- LINE STYLE,hatchback,ECOBLUE,automatic,5 portes,FWD,1.5,,,,85KW,
664,FORD,FOCUS,ST-LINE X,estate,ECOBOOST,automatic,5 portes,FWD,1.0,MHEV,,155PS,,
665,FORD,FOCUS,ST-LINE X,hatchback,ECOBLUE,automatic,5 portes,FWD,1.5,,,,88KW,
666,FORD,FOCUS,TITANIUM DESIGN,hatchback,unleaded,automatic,5 portes,FWD,1.0,MHEV,,,92KW,
667,FORD,FOCUS,TITANIUM X,hatchback,ECOBLUE,manual,5 portes,FWD,2.0,,,,110KW,
668,FORD,FOCUS,TITANIUM X,hatchback,ECOBOOST,automatic,5 portes,FWD,1.0,,,125PS,,
669,FORD,FOCUS,TITANIUM,estate,ECOBLUE,manual,5 portes,FWD,2.0,,,,110KW,
670,FORD,FOCUS,TREND BUSINESS,hatchback,ECOBLUE,manual,5 portes,FWD,1.5,,,95PS,,
671,FORD,FOCUS,TREND EDITION,hatchback,ECOBOOST,manual,5 portes,FWD,1.0,,,,92KW,
672,FORD,FOCUS,TREND,hatchback,ECOBLUE,manual,5 portes,FWD,1.5,,,,88KW,
673,FORD,FOCUS,VIGNALE EDITION,hatchback,ECOBOOST,automatic,5 portes,FWD,1.0,,,125PS,,
674,FORD,FOCUS,VIGNALE,estate,ECOBOOST,automatic,5 portes,FWD,1.5,,,,134KW,
675,FORD,FOCUS,VIGNALE,hatchback,ECOBOOST,manual,5 portes,FWD,1.0,MHEV,,,114KW,
676,FORD,FOCUS,ZETEC,hatchback,ECOBLUE,manual,5 portes,FWD,1.5,,,120PS,,
677,FORD,Fiesta,Active X,hatchback,EcoBoost,manual,5 portes,FWD,"1,0",,,,103kW,
678,FORD,Fiesta,Cool & Connect,hatchback,EcoBoost,manual,5 portes,FWD,"1,0",,,,74kW,
679,FORD,Fiesta,Cool & Connect,hatchback,EcoBoost,automatic,5 portes,FWD,"1,0",MHEV,,,92kW,
680,FORD,Fiesta,Cool & Connect,hatchback,unleaded,manual,3 doors,FWD,"1,1",,,,,
681,FORD,Fiesta,ST PLUS,hatchback,EcoBoost,manual,5 portes,FWD,1.5,,,200ch,,
682,FORD,Fiesta,ST-Line Black,hatchback,EcoBoost,manual,3 doors,FWD,"1,0",,,,103kW,
683,FORD,Fiesta,ST-Line X,hatchback,EcoBoost,manual,3 doors,FWD,"1,0",,,,70kW,
684,FORD,Fiesta,ST-Line X,hatchback,EcoBoost,automatic,5 portes,FWD,"1,0",,,,92kW,
685,FORD,Fiesta,ST-LINE,hatchback,TDCI,manual,3 doors,FWD,1.5,,,85CH,,
686,FORD,Fiesta,Titanium,hatchback,EcoBoost,manual,5 portes,FWD,"1,0",,,,92kW,
687,FORD,Fiesta,Trend,hatchback,unleaded,manual,5 portes,FWD,"1,1",,,,,
688,FORD,Fiesta,Vignale,hatchback,EcoBoost,manual,5 portes,FWD,"1,0",,,,74kW,
689,FORD,Focus,Active V Co-Pilot,hatchback,Ecoblue,automatic,5 portes,FWD,2.0,,,150cv,,
690,FORD,Focus,Active X,hatchback,EcoBlue,automatic,5 portes,FWD,1.5,,,120ch,,
691,FORD,Focus,Active,hatchback,EcoBoost,manual,5 portes,FWD,1.0,MHEV,,125cv,,
692,FORD,Focus,Plus,estate,EcoBoost,manual,5 portes,FWD,1.0,,,100cv,,
693,FORD,Focus,ST Line Co-Pilot,hatchback,EcoBoost,automatic,5 portes,FWD,1.0,,,125cv,,
694,FORD,Focus,ST-Line,hatchback,EcoBlue,automatic,5 portes,FWD,"1,5",,,,88kW,
695,FORD,Focus,Active Busin,estate,EcoBoost,automatic,5 portes,FWD,,,,125ch,,
696,FORD,Focus,Tit. Bus.,hatchback,TDCi,manual,5 portes,FWD,1.5,,,120cv,,
697,Ford,Focus,Titanium,estate,EcoBoost,automatic,5 portes,FWD,1.5L,,,150PS,,
698,FORD,Focus,Trend Business,hatchback,EcoBlue,manual,5 portes,FWD,1.5,,,95ch,,
699,FORD,GRAND C-MAX,TITANIUM,mini MPV,diesel,manual,5 portes,FWD,,,,,88KW,
700,FORD,GRAND TOURNEO CONNECT,SPORT,MPV,ECOBLUE,manual,5 portes,FWD,2.0,,,,90KW,
701,FORD,GRAND TOURNEO CONNECT,SPORT,MPV,ECOBOOST,automatic,5 portes,FWD,1.5,,,114PS,,
702,FORD,GRAND TOURNEO CONNECT,TITANIUM,MPV,ECOBLUE,automatic,5 portes,FWD,1.5,,,,88KW,
703,FORD,GRAND TOURNEO CONNECT,TREND,MPV,ECOBLUE,automatic,5 portes,FWD,1.5,,,,,
704,FORD,Galaxy,Titanium,MPV,EcoBlue,manual,5 portes,FWD,"2,0",,,,140kW,
705,FORD,Grand Tourneo Connect,Active,MPV,EcoBlue,manual,5 portes,AWD,2.0,,,,90kW,
706,FORD,Grand Tourneo Connect,Sport,MPV,EcoBoost,manual,5 portes,FWD,"1,5",,,,84kW,
707,FORD,KA+,BLACK&WHITE,hatchback,unleaded,manual,5 portes,FWD,1.2,,,85HP,,
708,FORD,KA+,COOL & CONNECT,hatchback,diesel,manual,5 portes,FWD,,,,,,
709,FORD,KUGA,BUSINESS,sports utility vehicle,TDCI,manual,5 portes,FWD,2.0,,,120HP,,
710,FORD,KUGA,GRAPHITE TECH,sports utility vehicle,ECOBLUE,automatic,5 portes,AWD,2.0,,,,88KW,
711,FORD,KUGA,GRAPHITE TECH EDIT,sports utility vehicle,ECOBLUE,automatic,5 portes,FWD,2.0,,,,88KW,
712,FORD,KUGA,ST-LINE EDITION,sports utility vehicle,TDCI,manual,5 portes,FWD,1.5,,,,,
713,FORD,KUGA,ST-LINE EDITION,sports utility vehicle,TDCI,manual,5 portes,FWD,2.0,,,150PS,,
714,FORD,KUGA,ST-LINE LIMITED EDITION,sports utility vehicle,TDCI,manual,5 portes,FWD,2.0,,,,110KW,
715,FORD,KUGA,ST-LINE X,sports utility vehicle,TDCI,manual,5 portes,FWD,2.0,,,150PS,,
716,FORD,KUGA,ST-LINE,sports utility vehicle,ECOBLUE,manual,5 portes,FWD,1.5,,,120PS,,
717,FORD,KUGA,ST-LINE,sports utility vehicle,TDCI,manual,5 portes,AWD,2.0,,,180PS,,
718,FORD,KUGA,TITANIUM BUSINESS,sports utility vehicle,unleaded,automatic,5 portes,AWD,2.5,HEV,,,,
719,FORD,KUGA,TITANIUM,sports utility vehicle,ECOBLUE,automatic,5 portes,FWD,1.5,,,120PS,,
720,FORD,KUGA,TITANIUM,sports utility vehicle,TDCI,manual,5 portes,AWD,2.0,,,180PS,,
721,FORD,KUGA,TITANIUM,sports utility vehicle,diesel,manual,5 portes,AWD,,,,,110KW,
722,FORD,KUGA,TITANIUM,sports utility vehicle,diesel,manual,5 portes,AWD,,,,,132KW,
723,FORD,KUGA,TREND,sports utility vehicle,ECOBOOST,manual,5 portes,FWD,1.5,,,120PS,,
724,FORD,KUGA,VIGNALE,sports utility vehicle,ECOBLUE,manual,5 portes,FWD,2.0,MHEV,,150PS,,
725,FORD,KUGA,VIGNALE,sports utility vehicle,TDCI,manual,5 portes,FWD,2.0,,,150HP,,
726,FORD,Kuga,ST LINE BLACK & SILVER,sports utility vehicle,TDCI,manual,5 portes,FWD,2.0,,,120ch,,
727,FORD,Kuga,ST-Line X,sports utility vehicle,EcoBoost,manual,5 portes,FWD,"1,5",,,,,
728,FORD,Kuga,ST-Line,sports utility vehicle,TDCi,manual,5 portes,AWD,"2,0",,,,132kW,
729,FORD,Kuga,ST-Line,sports utility vehicle,EcoBlue,automatic,5 portes,FWD,2.0,,,120CV,88kW,
730,FORD,Kuga,ST-Line,sports utility vehicle,EcoBoost,manual,5 portes,FWD,1.5,,,150PS,,
731,FORD,Kuga,TITANIUM,sports utility vehicle,TDCI,manual,5 portes,FWD,2.0,,,150ch,,
732,FORD,Kuga,Titanium,sports utility vehicle,TDCi,manual,5 portes,AWD,2.0,,,150CV,,
733,FORD,Kuga,Vignale,sports utility vehicle,TDCi,manual,5 portes,AWD,2.0,,,,132kW,
734,FORD,MONDEO,BUSINESS EDITION,estate,TDCI,manual,5 portes,FWD,2.0,,,,132KW,
735,FORD,MONDEO,ST-LINE B.,estate,TDCI,manual,5 portes,AWD,2.0,,,150 HP,,
736,FORD,MONDEO,ST-LINE,estate,TDCI,manual,5 portes,FWD,2.0,,,150PS,,
737,FORD,MONDEO,TITANIUM,estate,ECOBOOST,automatic,5 portes,FWD,1.5,,,,123KW,
738,FORD,Mondeo,Vignale,estate,TDCi,manual,5 portes,FWD,2.0,,,150PS,,
739,FORD,PUMA,ST-LINE VIGNALE,sports utility vehicle,ECOBOOST,automatic,5 portes,FWD,1.0,,,125PS,,
740,FORD,PUMA,ST-LINE X DESIGN,sports utility vehicle,ECOBLUE,manual,5 portes,FWD,1.5,,,,,
741,FORD,PUMA,TITANIUM X,sports utility vehicle,ECOBOOST,manual,5 portes,FWD,1.0,,,,92KW,
742,FORD,PUMA,TITANIUM X,sports utility vehicle,ECOBOOST,manual,5 portes,FWD,1.0,MHEV,,125HP,,
743,FORD,PUMA,TITANIUM,sports utility vehicle,ECOBOOST,automatic,5 portes,FWD,1.0,MHEV,,,114KW,
744,FORD,PUMA,VIVID RUBY,sports utility vehicle,ECOBOOST,automatic,5 portes,FWD,1.0,MHEV,,,92KW,
745,FORD,Puma,ST-Line X Vignale,sports utility vehicle,EcBst,manual,5 portes,FWD,1.0,MHEV,,155PS,,
746,FORD,Puma,ST-Line X,sports utility vehicle,EcoBoost,automatic,5 portes,FWD,1.0,MHEV,,125cv,,
747,FORD,Puma,ST-Line X,sports utility vehicle,EcoBoost,manual,5 portes,FWD,1.0,MHEV,,,92kW,
748,FORD,Puma,Titanium Design,sports utility vehicle,EcoBlue,manual,5 portes,FWD,"1,5",,,,88kW,
749,FORD,RANGER,LIMITED,pick-up,ECOBLUE,manual,4 dr,AWD,2.0,,,170PS,,
750,FORD,Ranger,XLT,pick-up,ECOBLUE,automatic,4 dr,AWD,2.0,,,170,,
751,FORD,Ranger,Limited,pick-up,Ecoblue,automatic,4 dr,AWD,2.0,,,213CV,,
752,FORD,Ranger,Thunder,pick-up,TDCi,automatic,4 dr,AWD,2.0,,,213CV,,
753,FORD,Ranger,Wildtrack,pick-up,Ecob,manual,4 dr,AWD,2.0,,,,157kW,
754,FORD,Ranger,Wildtrak,pick-up,TDCi,automatic,4 dr,AWD,2.2,,,160CV,,
755,FORD,Ranger,XLT,pick-up,Ecoblue,manual,4 dr,AWD,2.0,,,,125kW,
756,FORD,Ranger,XLT,pick-up,TDCi,manual,4 dr,AWD,2.0,,,170CV,,
757,FORD,S-MAX,EDITION,MPV,ECOBLUE,automatic,5 portes,FWD,2.0,,,,110KW,
758,FORD,S-MAX,ST-LINE B.,MPV,TDCI,automatic,5 portes,AWD,2.0,,,190HP,,
759,FORD,S-MAX,ST-Line,MPV,EcoBlue,manual,5 portes,FWD,"2,0",,,,140kW,
760,FORD,S-MAX,ST-LINE,MPV,ECOBLUE,manual,5 portes,FWD,2.0,,,190PS,,
761,FORD,S-MAX,TITANIUM,MPV,ECOBLUE,automatic,5 portes,FWD,2.0,,,190PS,,
762,FORD,S-MAX,Titanium,MPV,TDCi,automatic,5 portes,FWD,2.0,,,,140kW,
763,FORD,S-MAX,VIGNALE,MPV,TDCI,manual,5 portes,FWD,2.0,,,,110KW,
764,FORD,S-MAX,VIGNALE,MPV,TDCI,manual,5 portes,FWD,2.0,,,,140KW,
765,FORD,S-MAX,ZETEC,MPV,ECOBLUE,manual,5 portes,FWD,2.0,,,150PS,,
766,FORD,S-Max,Vignale,MPV,EcoBlue,automatic,5 portes,FWD,2.0,,,190cv,,
767,FORD,S-Max,Vignale,MPV,EcoBlue,automatic,5 portes,FWD,2.0,,,240cv,,
768,FORD,TOURNEO CONNECT,SPORT,mini MPV,ECOBLUE,automatic,5 portes,FWD,2.0,,,,90KW,
769,FORD,TOURNEO CONNECT,TITANIUM,mini MPV,TDCI,manual,5 portes,FWD,1.5,,,,,
770,FORD,TOURNEO CONNECT,TITANIUM,mini MPV,ECOBLUE,automatic,5 portes,FWD,2.0,,,122PS,,
771,FORD,TOURNEO CONNECT,TITANIUM,mini MPV,ECOBLUE,manual,5 portes,FWD,2.0,,,,75KW,
772,FORD,TOURNEO CONNECT,TREND,mini MPV,ECOBLUE,manual,4 dr,FWD,2.0,,,,75KW,
773,FORD,TOURNEO COURIER,AMBIENTE,mini MPV,TDCI,manual,5 portes,FWD,1.5,,,,55KW,
774,FORD,TOURNEO CUSTOM,TITANIUM,MPV,TDCI,automatic,5 portes,FWD,2.0,,,,125KW,
775,FORD,TOURNEO CUSTOM,TITANIUM,MPV,TDCI,automatic,5 portes,FWD,2.0,,,,96KW,
776,FORD,TOURNEO CUSTOM,TITANIUM X,MPV,ECOBLUE,automatic,5 portes,FWD,2.0,,,,125KW,
777,FORD,TOURNEO CUSTOM,TITANIUM,combi,TDCI,manual,5 portes,FWD,2.0,,,,96KW,
778,FORD,TOURNEO CUSTOM,TREND,combi,ECOBLUE,manual,5 portes,FWD,2.0,MHEV,,,96KW,
779,FORD,TRANSIT,AMBIENTE,panel van,diesel,manual,4 dr,FWD,,,,,,
780,FORD,TRANSIT,AMBIENTE,panel van,diesel,manual,4 dr,FWD,,,,,,
781,FORD,TRANSIT,AMBIENTE,panel van,diesel,manual,4 dr,FWD,,,,,,
782,FORD,TRANSIT,BASIS,chassis cab,ECOBLUE,manual,4 dr,AWD,2.0,,,,125KW,
783,FORD,TRANSIT CONNECT,ACTIVE,combi,ECOBOOST,manual,5 portes,FWD,1.0,,,100PS,,
784,FORD,TRANSIT CONNECT,ACTIVE,window van,ECOBLUE,automatic,5 portes,FWD,1.5,,,,74KW,
785,FORD,TRANSIT CONNECT,ACTIVE,window van,TDCI,manual,5 portes,FWD,1.5,,,,74KW,
786,FORD,TRANSIT CONNECT,BASIS,car van,ECOBLUE,manual,3 doors,FWD,1.5,,,,55KW,
787,FORD,TRANSIT CONNECT,BASIS,car van,ECOBLUE,automatic,3 doors,FWD,1.5,,,,88KW,
788,FORD,TRANSIT CONNECT,ENTRY,car van,TDCI,manual,3 doors,FWD,1.5,,,100HP,,
789,FORD,TRANSIT CONNECT,LEADER,car van,ECOBLUE,manual,4 dr,FWD,1.5,,,100PS,,
790,FORD,TRANSIT CONNECT,LIMITED,car van,ECOBLUE,automatic,4 dr,FWD,1.5,,,,74KW,
791,FORD,TRANSIT CONNECT,TREND,car van,ECOBLUE,automatic,4 dr,FWD,1.5,,,,88KW,
792,FORD,TRANSIT CONNECT,TREND,car van,TDCI,manual,4 dr,FWD,1.5,,,100HP,,
793,FORD,TRANSIT CONNECT,TREND,car van,TDCI,manual,4 dr,FWD,1.5,,,,74KW,
794,FORD,TRANSIT CONNECT,TREND,combi,ECOBLUE,manual,5 portes,FWD,1.5,,,,88KW,
795,FORD,TRANSIT COURIER,AMBIENTE,car van,CDTI,manual,3 doors,FWD,1.5,,,100PS,,
796,FORD,TRANSIT COURIER,TREND,car van,TDI,manual,4 dr,FWD,1.5,,,75 HP,,
797,FORD,TRANSIT CUSTOM,AMBIENTE,panel van,TDCI,manual,4 dr,FWD,2.0,,,,96KW,
798,FORD,TRANSIT CUSTOM,BASIS,panel van,diesel,manual,4 dr,FWD,,,,,77KW,
799,FORD,TRANSIT CUSTOM,ENTRY,panel van,TDCI,manual,4 dr,FWD,2.0,,,105HP,,
800,FORD,TRANSIT CUSTOM,LIMITED,panel van,diesel,manual,4 dr,FWD,,,,,,
801,FORD,TRANSIT CUSTOM,LIMITED,panel van,TDCI,automatic,4 dr,FWD,2.0,,,,96KW,
802,FORD,TRANSIT CUSTOM,SPORT,panel van,diesel,automatic,4 dr,FWD,,,,170PS,,
803,FORD,TRANSIT CUSTOM,TRAIL,combi,ECOBLUE,manual,4 dr,FWD,2.0,MHEV,,,110KW,
804,FORD,TRANSIT CUSTOM,TREND NUGGET,campervan,diesel,automatic,4 dr,FWD,2.0,,,,110KW,
805,FORD,TRANSIT CUSTOM,TRE,combi,ECOBLUE,manual,4 dr,FWD,2.0,MHEV,,,96KW,
806,FORD,TRANSIT CUSTOM,TREND,combi,TDCI,manual,4 dr,FWD,2.0,MHEV,,,96KW,
807,FORD,TRANSIT CUSTOM,TREND,panel van,diesel,manual,4 dr,FWD,,MHEV,,,,
808,FORD,TRANSIT CUSTOM,TREND,panel van,TDCI,automatic,4 dr,FWD,2.0,,,,125KW,
809,FORD,TRANSIT CUSTOM,TREND,panel van,diesel,automatic,4 dr,FWD,,,,130PS,,
810,FORD,TRANSIT CUSTOM,TREND,panel van,diesel,manual,4 dr,FWD,,,,,96KW,
811,FORD,TRANSIT,ENTRY,chassis cab,diesel,manual,4 dr,FWD,2.0,,,,96KW,
812,FORD,TRANSIT,ENTRY,combi,diesel,manual,4 dr,FWD,,,,130HP,,
813,FORD,TRANSIT,ENTRY,panel van,diesel,manual,4 dr,AWD,,,,,125KW,
814,FORD,TRANSIT,LEADER,bus,diesel,manual,4 dr,RWD,,,,130PS,,
815,FORD,TRANSIT,LEADER,chassis cab,diesel,manual,2 door,FWD,,,,105PS,,
816,FORD,TRANSIT,LIMITED,panel van,ECOBLUE,manual,4 dr,RWD,2.0,,,,125KW,
817,FORD,TRANSIT,LIMITED,panel van,diesel,manual,4 dr,FWD,,MHEV,,,,
818,FORD,TRANSIT,LIMITED,panel van,diesel,automatic,4 dr,FWD,,,,130PS,,
819,FORD,TRANSIT,LIMITED,panel van,diesel,manual,4 dr,FWD,,MHEV,,,,
820,FORD,TRANSIT,TIT.,panel van,diesel,automatic,4 dr,FWD,,,,,96KW,
821,FORD,TRANSIT,TITANIUM,panel van,diesel,manual,4 dr,FWD,2.0,,,,136KW,
822,FORD,TRANSIT,TREND BU,bus,ECOBL,automatic,4 dr,RWD,2.0,,,,,
823,FORD,TRANSIT,TREND B,chassis cab,ECOBLUE,manual,2 door,RWD,2.0,,,170PS,,
824,FORD,TRANSIT,TREND BUSINE,panel van,ECOB,manual,4 dr,FWD,2.0,,,105PS,,
825,FORD,TRANSIT,TREND,bus,diesel,manual,4 dr,RWD,,,,,96KW,
826,FORD,TRANSIT,TREND,chassis cab,ECOBLUE,automatic,2 door,FWD,2.0,,,,117KW,
827,FORD,TRANSIT,TREND,chassis cab,ECOBLUE,manual,2 door,AWD,2.0,,,170PS,,
828,FORD,TRANSIT,TREND,chassis cab,ECOBLUE,manual,2 door,RWD,2.0,,,170PS,,
829,FORD,TRANSIT,TREND,chassis cab,ECOBLUE,manual,2 door,RWD,2.0,,,185PS,,
830,FORD,TRANSIT,TREND,chassis cab,ECOBLUE,manual,2 door,FWD,2.0,,,,77KW,
831,FORD,TRANSIT,TREND,chassis cab,2.0TDCI,manual,4 dr,FWD,,MHEV,,,96KW,
832,FORD,TRANSIT,TREND,chassis cab,electric,automatic,2 door,RWD,,BEV,68KWH,,135KW,
833,FORD,TRANSIT,TREND,chassis cab,electric,automatic,2 door,RWD,,BEV,77KWH,,198KW,
834,FORD,TRANSIT,TREND,combi,diesel,automatic,4 dr,FWD,2.0,,,,110KW,
835,FORD,TRANSIT,TREND,drop side,diesel,manual,4 dr,RWD,,,,,125KW,
836,FORD,TRANSIT,TREND,drop side,electric,automatic,2 door,RWD,,BEV,77KWH,,135KW,
837,FORD,TRANSIT,TRE,panel van,ECOBL,manual,4 dr,FWD,2.0,,,,136KW,
838,FORD,TRANSIT,TREND,panel van,diesel,automatic,4 dr,FWD,,,,,125KW,
839,FORD,TRANSIT,TREND,panel van,ECOBL,automatic,4 dr,RWD,2.0,,,,121KW,
840,FORD,TRANSIT,TREND,panel van,ECOBLUE,manual,4 dr,RWD,2.0,MHEV,,,125KW,
841,FORD,TRANSIT,TREND,panel van,diesel,manual,4 dr,FWD,2.0,,,,114KW,
842,FORD,TRANSIT,TRE,panel van,diesel,manual,4 dr,RWD,2.0,MHEV,,,125KW,
843,FORD,TRANSIT,TREND,panel van,diesel,manual,4 dr,FWD,,,,130PS,,
844,FORD,TRANSIT,TREND,panel van,diesel,manual,4 dr,FWD,,,,170PS,,
845,FORD,TRANSIT,TREND,panel van,diesel,manual,4 dr,FWD,,,,130HP,,
846,FORD,TRANSIT,TREND,panel van,electric,automatic,4 dr,RWD,,BEV,68KWH,,135KW,
847,FORD,TRANSIT,TREND,panel van,electric,automatic,4 dr,RWD,,BEV,77KWH,,200KW,
848,FORD,Tourneo Courier,Titanium,mini MPV,TDCi,manual,5 portes,FWD,1.5,,,100CV,74kW,
849,FORD,Tourneo Custom,Titanium,MPV,TDCI,manual,5 portes,FWD,2.0,,,130CV,96kW,
850,FORD,Tourneo Custom,Trend,MPV,EcoBlue,manual,4 dr,FWD,2.0,,,,100kW,
851,FORD,Transit,Ambiente,chassis cab,diesel,manual,2 door,RWD,,,,,96kW,
852,FORD,Transit,Ambiente,panel van,diesel,manual,4 dr,FWD,,,,,77kW,
853,FORD,Transit Connect,Basis,car van,EcoBlue,manual,3 doors,FWD,"1,5",,,,55kW,
854,FORD,Transit Connect,Trend,combi,EcoBlue,manual,5 portes,FWD,"1,5",,,,74kW,
855,FORD,Transit Custom,Limited,panel van,diesel,manual,4 dr,FWD,,,,,96kW,
856,FORD,Transit Custom,Nugget Plus,campervan,diesel,manual,4 dr,FWD,,,,,136kW,
857,FORD,Transit Custom,Trend,panel van,diesel,automatic,4 dr,FWD,,,,,125kW,
858,FORD,Transit Custom,Trend,panel van,TDCi,manual,4 dr,FWD,2.0,MHEV,,,,
859,FORD,Transit Custom,Trend,panel van,diesel,manual,4 dr,FWD,,,,,125kW,
860,FORD,Transit,AMBIENTE,chassis cab,diesel,manual,4 dr,RWD,2.0,,,170ch,,
861,FORD,Transit,Entry,chassis cab,diesel,manual,4 dr,AWD,,,,170cv,,
862,FORD,Transit,Entry,chassis cab,diesel,manual,2 door,AWD,,,,170cv,,
863,FORD,Transit,Entry,chassis cab,diesel,manual,2 door,RWD,,,,130cv,,
864,FORD,Transit,Entry,panel van,diesel,manual,4 dr,FWD,2.0,,,130 Cv,,
865,FORD,Transit,LIMITED,panel van,diesel,automatic,4 dr,FWD,,,,,,
866,FORD,Transit,Trail,chassis cab,diesel,manual,2 door,AWD,,,,170PS,,
867,FORD,Transit,TRAIL,panel van,ECOB,manual,4 dr,FWD,2.0,,,,,
868,FORD,Transit,TREND BUSINE,panel van,ECOB,manual,4 dr,AWD,2.0,,,130PS,,
869,FORD,Transit,TREND BUSIN,panel van,ECOB,manual,4 dr,FWD,2.0,,,,,
870,FORD,Transit,Trend,bus,diesel,manual,4 dr,RWD,,,,,114kW,
871,FORD,Transit,Trend,bus,diesel,manual,4 dr,RWD,,,,,92kW,
872,FORD,Transit,Trend,chassis cab,diesel,automatic,2 door,FWD,,,,170cv,,
873,FORD,Transit,Trend,chassis cab,diesel,manual,2 door,FWD,,MHEV,,,125kW,
874,FORD,Transit,Trend,chassis cab,electric,automatic,2 door,RWD,,BEV,68kWh,269PS,,
875,FORD,Transit,Trend,combi,diesel,manual,4 dr,FWD,2.0,MHEV,,150 Cv,,
876,FORD,Transit,Trend,combi,diesel,manual,4 dr,AWD,,,,170 CV,,
877,FORD,Transit,Trend,drop side,diesel,manual,2 door,RWD,,,,,136kW,
878,FORD,Transit,Trend,panel van,diesel,manual,4 dr,FWD,,,,130cv,,
879,FORD,Transit,Trend,panel van,diesel,manual,4 dr,FWD,2.0,,,170 Cv,,
880,FORD,Transit,Trend,panel van,diesel,manual,4 dr,FWD,,,,,125kW,
881,FORD,Transit,Trend,panel van,diesel,manual,4 dr,RWD,,,,130 Cv,,
882,FORD,Transit,Trend,panel van,electric,automatic,4 dr,RWD,,BEV,68kWh,269CV,,
883,FORD,Transit,Trend,panel van,Elettrico,automatic,4 dr,RWD,,BEV,68KWH,269cv,,
884,,FPace,R-Dynamic S,,,Auto,,AWD,2.0,PHEV,,,,P400e
885,,F-Type,R-Dynamic,Coupe,,Auto,,RWD,2.0,,,,,P300
886,FUSO,Canter,,chassis cab,diesel,manual,2 door,RWD,,,,,,
887,Fiat,500X,Sport,,MultiJet,,,,1.3,,,95cv,,
888,Fiat,500,,Cabriolet,Électrique,,,,,,,118ch,87 kW,
889,Fiat,Tipo,CROSS,Hatchback,,,,,1.0,,,100cv,,
890,Ford,TOURNEO COURIER,,,,,,,,,,,,
891,Ford,FIESTA,ST-LINE,,,,5D,,1.0L,,,100PS,,
892,Ford,Fiesta,TITANIUM X,,EcoBoost,DCT-7,5Portes,,1.0,mHEV,,125 ch,,
893,Ford,RANGER,,,,,,,,,,,,
894,Ford,TOURNEO CONNECT,TREND,,,,,,,,,,,
895,Ford,TRANSIT,TREND,,,,,,,,,,,
896,Ford,Transit Connect,Trend,,,,,,,,,,,
897,,,M Sport,Convertible,,,,,3.0i,,,,,840i
898,,Golf,R-Line,Hatchback,eTSI,DSG,5dr,,1.5,,,,,
899,,GRANDLAND,ELEGANCE BUSINESS,,DIESEL,AUTOMATIQUE,,,1.5,,,130 CH,,
